...1,gu,price,rating,nrat,sh,title,housing_type,cap,bed,room,bath,res_rate,cert,clean,freeparking,laundry,camera,review_list,npho,url,locations,min_distance,subway
39,마포구,28000,5,4,0,,2,1,1,1,1,,1,0,0,0,0,"['굉장히 좋은 위치이고, 번화한 지역에 있는 것을 찾기가 매우 쉽습니다.집주인이 매우 친절하다.집주인은 선량하고 남을 잘 돕는 사람이다.방 안의 시설이 모두 갖추어져 있다.나는 이곳에서 아주 좋은 시간을 보냈다.它的位置非常好，很容易就能找到。房东很热情。房东是个善良乐于助人的人。房间里的设备一应俱全。我在这里过得很愉快。\n더 보기', '위치도 좋고 의사소통도 매우 잘 됐습니다', '호스트 덕분에 숙박이 훌륭했습니다. 외국인으로서 그는 다국어를 구사하기 때문에 그와 소통하는 것이 매우 좋았습니다. 그는 제 문제를 해결했습니다.', '한국에서 머물기 좋은 숙소.']",7,https://www.airbnb.co.kr/rooms/52604791?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669366018_dlnx072l%2B5GevAGs,"(37.55714, 126.94047)",0.375801654,신촌역
48,마포구,34659,4.8,148,0,,3,1,1,1,1,,1,0,0,1,0,"['저렴하고 위치 최고에요 ..', '위치 최고 공간 딱 적당히 좋았어요', '좋았어요', '방에 먼지가 많아요ㅠㅠ 먼지알레르기로 코가막혀서 힘들었어요 그리구 밤늦게 시끄러운 게스트때문에 힘드럿아요,, 그치만 가격대비 너무 아늑하고 좋았어요♥️♥️ 저는 다음날 중요한 면접때문에 잠을 못자서 좀 그랫지만 만약 면접아니엿으면 너무 맘편히 개스트들과 놀면서 잘 보냇을것 같아요', '가격대비 최고의 숙소인둣', '화장실은 깨끗하게 잘 관리돼있고, 2층 침대로 이루어져 있어요. 찬물밖에 안나오던게 아쉽긴 하지만 13000원이란 가격을 알면 하나도 아쉽지 않아요! 싼값에 위치도 좋고 푹 잘잤습니다ㅎㅎ!', '가성비 넘 좋습니다 호스트분 친절하시고 인테리어도 이뻐여']",15,https://www.airbnb.co.kr/rooms/20552862?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669366229_BYeT7BNgNdk3RdJR,"(37.55899, 126.91992)",0.41378412,홍대입구역
88,마포구,34659,4.8,148,0,,3,1,1,1,1,,1,0,0,1,0,"['저렴하고 위치 최고에요 ..', '위치 최고 공간 딱 적당히 좋았어요', '좋았어요', '방에 먼지가 많아요ㅠㅠ 먼지알레르기로 코가막혀서 힘들었어요 그리구 밤늦게 시끄러운 게스트때문에 힘드럿아요,, 그치만 가격대비 너무 아늑하고 좋았어요♥️♥️ 저는 다음날 중요한 면접때문에 잠을 못자서 좀 그랫지만 만약 면접아니엿으면 너무 맘편히 개스트들과 놀면서 잘 보냇을것 같아요', '가격대비 최고의 숙소인둣', '화장실은 깨끗하게 잘 관리돼있고, 2층 침대로 이루어져 있어요. 찬물밖에 안나오던게 아쉽긴 하지만 13000원이란 가격을 알면 하나도 아쉽지 않아요! 싼값에 위치도 좋고 푹 잘잤습니다ㅎㅎ!', '가성비 넘 좋습니다 호스트분 친절하시고 인테리어도 이뻐여']",15,https://www.airbnb.co.kr/rooms/20552862?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669367093_BsYDIsAXM7%2F8%2FLtw,"(37.55899, 126.91992)",0.41378412,홍대입구역
128,마포구,34659,4.8,148,0,,3,1,1,1,1,,1,0,0,1,0,"['저렴하고 위치 최고에요 ..', '위치 최고 공간 딱 적당히 좋았어요', '좋았어요', '방에 먼지가 많아요ㅠㅠ 먼지알레르기로 코가막혀서 힘들었어요 그리구 밤늦게 시끄러운 게스트때문에 힘드럿아요,, 그치만 가격대비 너무 아늑하고 좋았어요♥️♥️ 저는 다음날 중요한 면접때문에 잠을 못자서 좀 그랫지만 만약 면접아니엿으면 너무 맘편히 개스트들과 놀면서 잘 보냇을것 같아요', '가격대비 최고의 숙소인둣', '화장실은 깨끗하게 잘 관리돼있고, 2층 침대로 이루어져 있어요. 찬물밖에 안나오던게 아쉽긴 하지만 13000원이란 가격을 알면 하나도 아쉽지 않아요! 싼값에 위치도 좋고 푹 잘잤습니다ㅎㅎ!', '가성비 넘 좋습니다 호스트분 친절하시고 인테리어도 이뻐여']",15,https://www.airbnb.co.kr/rooms/20552862?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669367960_lhACkfift77ym5h7,"(37.55899, 126.91992)",0.41378412,홍대입구역
168,마포구,34659,4.8,148,0,,3,1,1,1,1,,1,0,0,1,0,"['저렴하고 위치 최고에요 ..', '위치 최고 공간 딱 적당히 좋았어요', '좋았어요', '방에 먼지가 많아요ㅠㅠ 먼지알레르기로 코가막혀서 힘들었어요 그리구 밤늦게 시끄러운 게스트때문에 힘드럿아요,, 그치만 가격대비 너무 아늑하고 좋았어요♥️♥️ 저는 다음날 중요한 면접때문에 잠을 못자서 좀 그랫지만 만약 면접아니엿으면 너무 맘편히 개스트들과 놀면서 잘 보냇을것 같아요', '가격대비 최고의 숙소인둣', '화장실은 깨끗하게 잘 관리돼있고, 2층 침대로 이루어져 있어요. 찬물밖에 안나오던게 아쉽긴 하지만 13000원이란 가격을 알면 하나도 아쉽지 않아요! 싼값에 위치도 좋고 푹 잘잤습니다ㅎㅎ!', '가성비 넘 좋습니다 호스트분 친절하시고 인테리어도 이뻐여']",15,https://www.airbnb.co.kr/rooms/20552862?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669368835_Aa9dxjZ8f8y9x%2F9B,"(37.55899, 126.91992)",0.41378412,홍대입구역
208,마포구,34659,4.8,148,0,,3,1,1,1,1,,1,0,0,1,0,"['저렴하고 위치 최고에요 ..', '위치 최고 공간 딱 적당히 좋았어요', '좋았어요', '방에 먼지가 많아요ㅠㅠ 먼지알레르기로 코가막혀서 힘들었어요 그리구 밤늦게 시끄러운 게스트때문에 힘드럿아요,, 그치만 가격대비 너무 아늑하고 좋았어요♥️♥️ 저는 다음날 중요한 면접때문에 잠을 못자서 좀 그랫지만 만약 면접아니엿으면 너무 맘편히 개스트들과 놀면서 잘 보냇을것 같아요', '가격대비 최고의 숙소인둣', '화장실은 깨끗하게 잘 관리돼있고, 2층 침대로 이루어져 있어요. 찬물밖에 안나오던게 아쉽긴 하지만 13000원이란 가격을 알면 하나도 아쉽지 않아요! 싼값에 위치도 좋고 푹 잘잤습니다ㅎㅎ!', '가성비 넘 좋습니다 호스트분 친절하시고 인테리어도 이뻐여']",15,https://www.airbnb.co.kr/rooms/20552862?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669369709_0PNIi94OywGxaJaW,"(37.55899, 126.91992)",0.41378412,홍대입구역
27,서대문구,36000,4.62,21,0,,2,1,1,1,1,,1,0,0,1,0,"['위치 너무좋고 가성비 대박이예요 잠만자고 바로 나가야해서 저렴한곳으로 찾아보는데 생각보다 좋았어요', '위치도 괜찮고 싼 가격에 하루 자기 괜찬항요', '깨끗하고 조용해요, 사장님께서 친절하세요!! 가성비 여기보다 좋은 곳 없을 것 같아요. 편안하게 잘 쉬고 갑니다:)', '바로 밑에 내려가면 큰 길에 그냥 번화가여서 좋아요 방은 깨끗하진 않지만 가격 생각하면 괜찮아요', '깨끗하진 않으나 가격 생각하면 이해 가능한 수준입니다. 주변이 대학가라 식당도 많고 편의점, 다이소, 코인빨래방이 가까이 있어 상당히 편합니다!', '가격에 비해 위치도 괜찮고 시설도 좋았으나 숙소 내부의 냄새때문에 오래 있기 힘들었음', '가격대비 아주 훌륭한 숙소입니다 추후 신촌쪽에 올일이 있으면 다시 숙박할 의향이 있습니다 방에 따라 헤어드라이어가 없을수 있어서 미리 확인해보시는게 좋습니다']",16,https://www.airbnb.co.kr/rooms/640398360627602926?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669290686_%2FUzBcka3nqNX2RlP,"(37.55943, 126.94147)",0.52506254,이대역
3,중구,39280,4.4,10,0,ALL STAY-E 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['방이 너무 깨끗하고 좋았어요.', '가격대비 생각보다 괜찮았어요 사진으로 봤을 땐 광각이라 너무 좁은 거 아닌가 싶었는데 위치+가격적인 면에서 우수해서 예약했고 도착해서 보니까 크기가 생각보다 불편할 정도는 아니라 오히려 괜찮았어요 샤워실은 조금 불편했어요 둘 중 하나는 고치는 중이라 한 층에 샤워실을 하나밖에 사용하지 못해서 다른 분이랑 사용 시간 겹치면 어쩌지 싶었는데 한 30분 정도 일찍 일어나니까 제 일정에는 문제 없이 사용했습니다 화장실 빼고는 좋았어요', '저렴한 가격에 좋은 위치 방도 깨끗하고 잘 썼습니다.', '가성비 괜찮습니다', '가격이 저렴해서 좋았어요 일본어에서 번역됨  원문 보기', '숙소는 모든 것을 갖춘 매우 가깝습니다. 버스 정류장, 지하철, 편의점 및 레스토랑. 명동까지 도보로 10분 거리입니다. 호스트도 매우 응답이 빠르며 많은 도움을 줍니다. 반드시 다시 예약할 예정입니다. 영어에서 번역됨  원문 보기', '정말 저렴하게 여행을 마치려고 하시는 분들에게 좋은 방법이라고 생각합니다.  서울역, 시청역, 명동역과 가까워 접근성이 좋습니다 일본어에서 번역됨  원문 보기', '이곳에서 즐거운 시간을 보냈습니다. 가격을 생각하면 절대적으로 도난당했습니다! 훌륭한 커뮤니케이션, 객실은 멋지고 깨끗합니다. 욕실은 조금 오래되었지만 곧 리모델링되었다고 하지만 문제 없이 사용할 수 있습니다. 무료 쌀과 김치가 항상 훌륭합니다. 감사합니다. 다시 서울에 오면 기꺼이 이 숙소를 다시 예약하겠습니다! 영어에서 번역됨  원문 보기', '최소한의 저렴한 숙소를 찾으신다면 머물기 좋은 숙소입니다. 아마 며칠 이상 이곳에 머물지 않을 것이지만, 이번에는 완벽하게 작동했습니다 (4일). 영어에서 번역됨  원문 보기', '호스트는 매우 친절했고 몇 가지 문제를 해결하는 데 도움을 주었습니다. 중국어(번체)에서 번역됨  원문 보기']",7,https://www.airbnb.co.kr/rooms/667803792664524888?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669274404_b43MsVBn8eQqAMdA,"(37.56198, 126.97807)",0.359381705,회현역
32,종로구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669286572_f4tln8V3EKOSeP8%2F,"(37.56334, 126.97844)",0.248403844,시청역
22,중구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669274827_%2F0HTxYMT8AgweMwy,"(37.56334, 126.97844)",0.248403844,시청역
